x,y,text
8.948414,11.205777,You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings.
10.080843,10.16953,"I arrived here yesterday; and my first task is to assure my dear sister of my welfare, and increasing confidence in the success of my undertaking."
5.0360866,9.72765,"I am already far north of London; and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves, and fills me with delight."
5.0249767,9.616462,"This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes."
5.0768337,9.744078,I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.
5.596681,10.86005,"There, Margaret, the sun is for ever visible; its broad disk just skirting the horizon, and diffusing a perpetual splendour."
5.1084876,9.322277,"There--for with your leave, my sister, I will put some trust in preceding navigators--there snow and frost are banished; and, sailing over a calm sea, we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on the habitable globe."
5.567597,11.128057,"Its productions and features may be without example, as the phenomena of the heavenly bodies undoubtedly are in those undiscovered solitudes."
5.2401114,9.540798,"I may there discover the wondrous power which attracts the needle; and may regulate a thousand celestial observations, that require only this voyage to render their seeming eccentricities consistent for ever."
5.237529,9.392419,"I shall satiate my ardent curiosity with the sight of a part of the world never before visited, and may tread a land never before imprinted by the foot of man."
5.439837,9.221788,"These are my enticements, and they are sufficient to conquer all fear of danger or death, and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river."
5.1582603,9.456866,"But, supposing all these conjectures to be false, you cannot contest the inestimable benefit which I shall confer on all mankind to the last generation, by discovering a passage near the pole to those countries, to reach which at present so many months are requisite; or by ascertaining the secret of the magnet, which, if at all possible, can only be effected by an undertaking such as mine."
8.209712,10.4004755,"These reflections have dispelled the agitation with which I began my letter, and I feel my heart glow with an enthusiasm which elevates me to heaven; for nothing contributes so much to tranquillise the mind as a steady purpose,--a point on which the soul may fix its intellectual eye."
5.1341295,9.336481,I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.
7.423996,9.081321,"You may remember, that a history of all the voyages made for purposes of discovery composed the whole of our good uncle Thomas's library."
7.7034388,8.857566,"These volumes were my study day and night, and my familiarity with them increased that regret which I had felt, as a child, on learning that my father's dying injunction had forbidden my uncle to allow me to embark in a seafaring life."
7.8474593,10.235069,"These visions faded when I perused, for the first time, those poets whose effusions entranced my soul, and lifted it to heaven."
8.010455,10.228395,"I also became a poet, and for one year lived in a Paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakspeare are consecrated."
9.075782,9.423452,"But just at that time I inherited the fortune of my cousin, and my thoughts were turned into the channel of their earlier bent."
6.0517297,8.930743,"I accompanied the whale-fishers on several expeditions to the North Sea; I voluntarily endured cold, famine, thirst, and want of sleep; I often worked harder than the common sailors during the day, and devoted my nights to the study of mathematics, the theory of medicine, and those branches of physical science from which a naval adventurer might derive the greatest practical advantage."
